0.381966 0.00461938
0.618034 0.0924367
0.236068 0.0060734
0.472136 0.025007
0.326238 0.000149767
0.291796 0.000493015
0.347524 0.00112387
0.313082 8.42166e-07
0.304952 8.1872e-05
0.318107 1.68699e-05
0.309977 1.61871e-05
0.315002 1.00337e-06
0.311896 4.42655e-06
0.313815 3.4062e-08
0.314269 7.21164e-08
0.313535 2.15846e-07
0.313989 1.31987e-10
0.314095 9.11543e-09
0.313922 6.02106e-09
0.314029 8.62468e-10
0.313963 1.34977e-09
0.314004 1.69513e-11
0.314014 1.89395e-10
0.313998 3.3991e-12
0.313994 3.05552e-11
0.314 1.87647e-13
0.314002 3.38689e-12
